,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
513,Winton Woods Primary North,3904408,PK,2,0.0,1.0,0,HAMILTON,511.0,Winton Woods City School District,Cincinnati,3901.0,2020-08-24,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2020-10-09,2020-08-26,3901.0,3637.0,3901.0,92949.0
514,Winton Woods High School,3904408,9,12,0.0,3.0,0,HAMILTON,1045.0,Winton Woods City School District,Cincinnati,3901.0,2020-08-24,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2020-10-09,2020-08-26,3901.0,3637.0,3901.0,92949.0
515,Winton Woods Middle School,3904408,7,8,0.0,2.0,0,HAMILTON,542.0,Winton Woods City School District,Cincinnati,3901.0,2020-08-24,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2020-10-09,2020-08-26,3901.0,3637.0,3901.0,92949.0
516,Winton Woods Primary South,3904408,KG,2,0.0,1.0,0,HAMILTON,416.0,Winton Woods City School District,Cincinnati,3901.0,2020-08-24,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2020-10-09,2020-08-26,3901.0,3637.0,3901.0,92949.0
517,Winton Woods Elementary School,3904408,3,4,0.0,1.0,0,HAMILTON,557.0,Winton Woods City School District,Cincinnati,3901.0,2020-08-24,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2020-10-09,2020-08-26,3901.0,3637.0,3901.0,92949.0
518,Greenville Intermediate School,3904409,3,4,0.0,1.0,0,DARKE,938.0,Greenville City Schools,Greenville,2223.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-18,2020-09-09,2223.0,2546.0,2546.0,8651.0
519,Greenville Senior High School,3904409,9,12,0.0,3.0,0,DARKE,837.0,Greenville City Schools,Greenville,2223.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-18,2020-09-09,2223.0,2546.0,2546.0,8651.0
520,Greenville Junior High School,3904409,7,8,0.0,2.0,0,DARKE,771.0,Greenville City Schools,Greenville,2223.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-18,2020-09-09,2223.0,2546.0,2546.0,8651.0
521,Greenville Primary School,3904409,KG,2,0.0,1.0,0,DARKE,,Greenville City Schools,Greenville,2223.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-18,2020-09-09,2223.0,2546.0,2546.0,8651.0
522,Greenville Middle School,3904409,5,6,0.0,2.0,0,DARKE,,Greenville City Schools,Greenville,2223.0,2020-09-08,Online Only,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-12-18,2020-09-09,2223.0,2546.0,2546.0,8651.0
523,Brookwood Elementary School,3904410,KG,6,0.0,1.0,0,BUTLER,704.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
524,Highland Elementary School,3904410,KG,6,0.0,1.0,0,BUTLER,663.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
525,Garfield Middle School,3904410,7,8,0.0,2.0,0,BUTLER,790.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
526,Riverview Elementary School,3904410,KG,6,0.0,1.0,0,BUTLER,677.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
527,Hamilton High School,3904410,9,12,0.0,3.0,0,BUTLER,1928.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
528,Crawford Woods Elementary School,3904410,KG,6,0.0,1.0,0,BUTLER,684.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
529,Wilson Middle School,3904410,7,8,0.0,2.0,0,BUTLER,657.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
530,Hamilton Freshman School,3904410,9,9,0.0,4.0,0,BUTLER,713.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
531,Linden Elementary School,3904410,PK,6,0.0,1.0,0,BUTLER,770.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
532,Bridgeport Elementary School,3904410,PK,6,0.0,1.0,0,BUTLER,758.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
533,Fairwood Elementary School,3904410,PK,6,0.0,1.0,0,BUTLER,820.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
534,Ridgeway Elementary School,3904410,PK,6,0.0,1.0,0,BUTLER,859.0,Hamilton City School District,Hamilton,10400.0,2020-09-24,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-11,2020-10-20,10400.0,10023.0,10400.0,55213.0
535,Heath Middle School,3904411,6,8,0.0,2.0,0,LICKING,406.0,Heath City Schools,Heath,1710.0,2020-08-24,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-09-24,2020-08-26,1710.0,1693.0,1710.0,28990.0
536,Garfield Elementary School,3904411,KG,2,0.0,1.0,0,LICKING,383.0,Heath City Schools,Heath,1710.0,2020-08-24,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-09-24,2020-08-26,1710.0,1693.0,1710.0,28990.0
537,Heath High School,3904411,9,12,0.0,3.0,0,LICKING,502.0,Heath City Schools,Heath,1710.0,2020-08-24,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-09-24,2020-08-26,1710.0,1693.0,1710.0,28990.0
538,Stevenson Elementary School,3904411,3,5,0.0,1.0,0,LICKING,402.0,Heath City Schools,Heath,1710.0,2020-08-24,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-09-24,2020-08-26,1710.0,1693.0,1710.0,28990.0
539,Hillsboro High School,3904412,9,12,0.0,3.0,0,HIGHLAND,703.0,Hillsboro City School District,Hillsboro,2352.0,2020-08-12,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-18,2352.0,2359.0,2359.0,5302.0
540,Hillsboro Intermediate School,3904412,4,5,0.0,2.0,0,HIGHLAND,346.0,Hillsboro City School District,Hillsboro,2352.0,2020-08-12,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-18,2352.0,2359.0,2359.0,5302.0
541,Hillsboro Primary School,3904412,2,3,0.0,1.0,0,HIGHLAND,350.0,Hillsboro City School District,Hillsboro,2352.0,2020-08-12,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-18,2352.0,2359.0,2359.0,5302.0
542,Hillsboro Middle School,3904412,6,9,0.0,2.0,0,HIGHLAND,584.0,Hillsboro City School District,Hillsboro,2352.0,2020-08-12,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-18,2352.0,2359.0,2359.0,5302.0
543,Hillsboro Early Childhood Center,3904412,PK,1,0.0,1.0,0,HIGHLAND,376.0,Hillsboro City School District,Hillsboro,2352.0,2020-08-12,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-18,2352.0,2359.0,2359.0,5302.0
544,Huron High School,3904413,9,12,0.0,3.0,0,ERIE,475.0,Huron City Schools,Huron,1465.0,2020-08-31,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Pending,Pending,Pending,Pending,Yes,2020-09-08,2020-09-02,1465.0,1355.0,1465.0,14910.0
545,McCormick Junior High,3904413,7,8,0.0,2.0,0,ERIE,213.0,Huron City Schools,Huron,1465.0,2020-08-31,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Pending,Pending,Pending,Pending,Yes,2020-09-08,2020-09-02,1465.0,1355.0,1465.0,14910.0
546,Woodlands Intermediate School,3904413,3,6,0.0,1.0,0,ERIE,376.0,Huron City Schools,Huron,1465.0,2020-08-31,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Pending,Pending,Pending,Pending,Yes,2020-09-08,2020-09-02,1465.0,1355.0,1465.0,14910.0
547,Shawnee Elementary,3904413,PK,2,0.0,1.0,0,ERIE,291.0,Huron City Schools,Huron,1465.0,2020-08-31,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Pending,Pending,Pending,Pending,Yes,2020-09-08,2020-09-02,1465.0,1355.0,1465.0,14910.0
548,Ironton Middle School,3904414,6,8,0.0,2.0,0,LAWRENCE,335.0,Ironton City School District,Ironton,1493.0,2020-08-24,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2021-01-21,2020-08-26,1493.0,1388.0,1493.0,9734.0
549,Ironton High School,3904414,9,12,0.0,3.0,0,LAWRENCE,381.0,Ironton City School District,Ironton,1493.0,2020-08-24,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2021-01-21,2020-08-26,1493.0,1388.0,1493.0,9734.0
550,Ironton Elementary School,3904414,PK,5,0.0,1.0,0,LAWRENCE,672.0,Ironton City School District,Ironton,1493.0,2020-08-24,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2021-01-21,2020-08-26,1493.0,1388.0,1493.0,9734.0
551,Jackson High School,3904415,9,12,0.0,3.0,0,JACKSON,695.0,Jackson City School District,Jackson,2476.0,2020-08-19,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-07,2020-08-26,2476.0,2423.0,2476.0,5216.0
552,Jackson Middle School,3904415,6,8,0.0,2.0,0,JACKSON,556.0,Jackson City School District,Jackson,2476.0,2020-08-19,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-07,2020-08-26,2476.0,2423.0,2476.0,5216.0
553,Jackson Southview Elementary School,3904415,PK,5,0.0,1.0,0,JACKSON,408.0,Jackson City School District,Jackson,2476.0,2020-08-19,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-07,2020-08-26,2476.0,2423.0,2476.0,5216.0
554,Jackson Westview Elementary School,3904415,PK,5,0.0,1.0,0,JACKSON,386.0,Jackson City School District,Jackson,2476.0,2020-08-19,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-07,2020-08-26,2476.0,2423.0,2476.0,5216.0
555,Jackson Northview Elementary School,3904415,KG,5,0.0,1.0,0,JACKSON,378.0,Jackson City School District,Jackson,2476.0,2020-08-19,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-07,2020-08-26,2476.0,2423.0,2476.0,5216.0
556,Davey Elementary School,3904416,PK,5,0.0,1.0,0,PORTAGE,476.0,Kent City School District,Kent,3552.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-02,3552.0,3377.0,3552.0,20789.0
557,Holden Elementary School,3904416,KG,5,0.0,1.0,0,PORTAGE,261.0,Kent City School District,Kent,3552.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-02,3552.0,3377.0,3552.0,20789.0
558,Longcoy Elementary School,3904416,KG,5,0.0,1.0,0,PORTAGE,267.0,Kent City School District,Kent,3552.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-02,3552.0,3377.0,3552.0,20789.0
559,Theodore Roosevelt High School,3904416,9,12,0.0,3.0,0,PORTAGE,1283.0,Kent City School District,Kent,3552.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-02,3552.0,3377.0,3552.0,20789.0
560,Walls Elementary School,3904416,KG,5,0.0,1.0,0,PORTAGE,416.0,Kent City School District,Kent,3552.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-02,3552.0,3377.0,3552.0,20789.0
561,Stanton Middle School,3904416,6,9,0.0,2.0,0,PORTAGE,674.0,Kent City School District,Kent,3552.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-02,3552.0,3377.0,3552.0,20789.0
562,Grant Elementary School,3904419,KG,5,0.0,1.0,0,CUYAHOGA,344.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
563,Lakewood High School,3904419,9,12,0.0,3.0,0,CUYAHOGA,1543.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
564,Lincoln Elementary School,3904419,KG,5,0.0,1.0,0,CUYAHOGA,302.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
565,Horace Mann Elementary School,3904419,PK,5,0.0,1.0,0,CUYAHOGA,312.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
566,Roosevelt Elementary School,3904419,KG,5,0.0,1.0,0,CUYAHOGA,296.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
567,Emerson Elementary School,3904419,PK,5,0.0,1.0,0,CUYAHOGA,440.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
568,Harding Middle School,3904419,6,8,0.0,2.0,0,CUYAHOGA,531.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
569,Hayes Elementary School,3904419,PK,5,0.0,1.0,0,CUYAHOGA,373.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
570,Garfield Middle School,3904419,6,8,0.0,2.0,0,CUYAHOGA,538.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
571,Harrison Elementary School,3904419,PK,5,0.0,1.0,0,CUYAHOGA,376.0,Lakewood City School District,Lakewood,4927.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,4927.0,5055.0,5055.0,98343.0
572,Gorsuch West Elementary School,3904420,KG,5,0.0,1.0,0,FAIRFIELD,594.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
573,Mt. Pleasant Elementary School,3904420,KG,5,0.0,1.0,0,FAIRFIELD,560.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
574,General Sherman Junior High School,3904420,6,8,0.0,2.0,0,FAIRFIELD,711.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
575,Lancaster High School,3904420,9,12,0.0,3.0,0,FAIRFIELD,1838.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
576,Medill Elementary School,3904420,KG,5,0.0,1.0,0,FAIRFIELD,614.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
577,Sanderson Elementary School,3904420,KG,5,0.0,1.0,0,FAIRFIELD,,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
578,Tallmadge Elementary School,3904420,KG,5,0.0,1.0,0,FAIRFIELD,580.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
579,Tarhe Trails Elementary School,3904420,KG,5,0.0,1.0,0,FAIRFIELD,622.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
580,Thomas Ewing Junior High School,3904420,6,8,0.0,2.0,0,FAIRFIELD,699.0,Lancaster City School District,Lancaster,7232.0,2020-09-01,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-02,7232.0,6218.0,7232.0,15684.0
581,Berry Intermediate School,3904421,5,6,0.0,2.0,0,WARREN,901.0,Lebanon City School District,Lebanon,5363.0,2020-08-17,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-27,2020-08-18,5363.0,5554.0,5554.0,39508.0
582,Lebanon High School,3904421,9,12,0.0,3.0,0,WARREN,1669.0,Lebanon City School District,Lebanon,5363.0,2020-08-17,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-27,2020-08-18,5363.0,5554.0,5554.0,39508.0
583,Louisa Wright Elementary School,3904421,,,1.0,,0,WARREN,,Lebanon City School District,Lebanon,5363.0,2020-08-17,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-27,2020-08-18,5363.0,5554.0,5554.0,39508.0
584,Donovan  Elementary School,3904421,2,4,0.0,1.0,0,WARREN,842.0,Lebanon City School District,Lebanon,5363.0,2020-08-17,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-27,2020-08-18,5363.0,5554.0,5554.0,39508.0
585,Bowman Primary School,3904421,PK,3,0.0,1.0,0,WARREN,1280.0,Lebanon City School District,Lebanon,5363.0,2020-08-17,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-27,2020-08-18,5363.0,5554.0,5554.0,39508.0
586,Lebanon Junior High,3904421,7,9,0.0,2.0,0,WARREN,862.0,Lebanon City School District,Lebanon,5363.0,2020-08-17,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-27,2020-08-18,5363.0,5554.0,5554.0,39508.0
587,Lima North Middle School,3904422,5,8,0.0,2.0,0,ALLEN,365.0,Lima City School District,Lima,4223.0,2020-08-12,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-02,2020-08-18,4223.0,3625.0,4223.0,16319.0
588,Lima South Science-Technology Magnet K-8,3904422,KG,8,0.0,1.0,0,ALLEN,170.0,Lima City School District,Lima,4223.0,2020-08-12,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-02,2020-08-18,4223.0,3625.0,4223.0,16319.0
589,Lima West Middle School,3904422,7,8,0.0,2.0,0,ALLEN,428.0,Lima City School District,Lima,4223.0,2020-08-12,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-02,2020-08-18,4223.0,3625.0,4223.0,16319.0
590,Unity Elementary School,3904422,PK,4,0.0,1.0,0,ALLEN,204.0,Lima City School District,Lima,4223.0,2020-08-12,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-02,2020-08-18,4223.0,3625.0,4223.0,16319.0
591,Freedom Elementary School,3904422,PK,4,0.0,1.0,0,ALLEN,225.0,Lima City School District,Lima,4223.0,2020-08-12,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-02,2020-08-18,4223.0,3625.0,4223.0,16319.0
